Year ,ENERGYUSE
1971,267.3475635
1972,267.3087413
1973,268.6027422
1974,272.7135495
1975,275.9077848
1976,280.447908
1977,281.9476665
1978,279.3808602
1979,285.5377769
1980,286.1638302
1981,293.7417601
1982,298.0839381
1983,300.7022275
1984,306.0667075
1985,314.8980474
1986,318.8673228
1987,323.8831217
1988,334.2568279
1989,342.7009948
1990,350.0757339
1991,357.36676
1992,363.0783456
1993,364.5145018
1994,371.2259129
1995,385.0918566
1996,389.426518
1997,397.3781847
1998,399.4988312
1999,414.9624918
2000,417.2875886
2001,416.0144443
2002,421.2704901
2003,424.2943456
2004,439.7030084
2005,449.7658559
2006,466.1382611
2007,485.0996282
2008,501.5596349
2009,544.6265982
2010,561.6534027
2011,577.9940611
2012,599.1544142
2013,605.7921412
2014,636.5701556
